emergency vehicle selection,Tipo_Incidencia,Tipo_Lugar
4753406,8,107
5197440,3,107
4717846,9,104
4936323,3,107
4853050,3,139
5179547,1,125
5336162,9,107
4828894,3,222
4933079,3,149
5162959,3,259
5014292,3,107
4802928,3,136
4726876,9,131
5072917,3,167
5295926,3,
4865597,9,137
4861014,3,325
5005247,2,
4824286,3,136
5110829,3,139
5136174,3,139
5396271,3,136
4905205,3,136
5071019,3,139
4715029,3,140
5143650,1,137
4984100,3,107
5419022,3,100
5130421,3,201
5092030,3,140
4881878,3,139
5033940,3,148
4736473,3,259
5436231,3,140
4756451,3,219
5370695,3,136
4900743,3,136
5312424,3,325
5430656,3,136
5059896,3,139
5314060,9,136
5000577,3,136
5422800,2,149
5424187,3,139
4922807,3,100
4718469,3,136
5136502,3,139
5455045,3,139
5125716,3,139
4864493,3,136
5428140,1,131
4727273,3,139
5456236,3,196
4979179,3,230
4966071,3,139
5357525,3,139
5017479,3,133
5403776,3,149
5440997,3,139
5364405,3,242
5289502,6,
4811810,3,136
5147302,3,148
5381128,3,139
5102669,3,148
5454870,3,107
4996197,3,148
5321222,3,139
5193750,9,139
4862793,3,148
4935794,3,137
5013269,3,323
4907494,3,139
4910074,3,241
5035190,3,139
5314745,1,
5155273,3,136
5080794,1,257
4833865,3,136
4912205,3,276
4919215,3,157
4760093,3,139
5137283,3,149
5118537,3,148
4820058,3,148
5062743,3,139
4994501,3,139
4764394,3,219
5096044,5,148
4745595,7,130
4792828,3,136
5144820,3,107
4803565,3,136
5182005,3,139
5439153,3,136
5379833,3,139
5123497,3,139
4919904,3,148
5190020,3,136
5202681,3,148
4936513,3,316
5278051,3,148
5064285,3,226
5390022,3,139
4893349,3,224
5037233,3,148
5113374,3,136
5335476,9,139
5004107,3,139
4950262,3,104
4925579,3,210
5454993,1,241
4816516,3,107
4843374,3,139
5163645,3,271
5084548,3,148
5143611,1,148
5375768,3,140
5322101,3,136
4976381,3,148
4853741,3,136
5418091,3,140
5173264,1,128
4830873,3,139
5009334,3,139
4958329,3,148
5349060,3,139
5017822,3,139
4859603,3,148
5188814,3,136
5338272,3,
5173464,3,224
5137203,3,107
4869836,3,196
4895954,1,164
5065884,1,126
5033876,3,241
4969636,3,199
4775506,3,104
4820753,1,131
5016790,7,108
5174973,3,148
4765276,3,140
4828139,6,
5164040,3,136
5378597,6,148
4775813,3,136
5408769,1,135
4728074,3,139
5318060,3,136
4998119,3,139
4905821,3,148
5429799,3,325
5143055,3,148
5164729,3,
5410649,4,131
4831573,3,148
5090925,3,148
5458856,3,136
5276733,3,136
5294579,3,139
5027860,9,136
4757451,3,136
5145008,3,139
4961703,2,149
5338604,3,139
5369214,3,264
5179132,3,136
5112767,1,148
4931545,3,139
5146233,3,148
4812622,3,201
4816326,3,136
4979893,1,
4949749,1,201
5368100,3,148
5201259,3,219
4933458,3,105
4903136,3,148
4864413,1,114
4827186,3,228
5006652,3,139
5345131,3,136
5281102,3,139
4769614,3,276
5338425,3,136
5400783,3,137
5053398,3,136
5303831,3,135
4717699,3,136
4876337,3,136
5143299,3,139
5156978,3,107
5269727,3,218
5280621,3,136
5271553,3,148
5446847,3,139
4790054,3,136
5303326,3,136
4861763,3,136
4831331,3,148
5404122,3,139
