country,lngdppc,lnpop,gattwto08,numbil0
United States,10.786021,19.532846,60,469
Canada,10.743365,17.319439,0,25
"Bahamas, The",10.072139,12.760934,0,0
Aruba,10.223734,11.526276,0,0
Bermuda,11.446847,11.086334,0,0
Cuba,8.590968,16.23999,8,0
Haiti,6.521256,16.081251,58,0
Dominican Republic,8.4916935,16.092798,58,0
Jamaica,8.542905,14.798313,45,0
Trinidad and Tobago,9.960371,14.090448,46,0
Barbados,9.714175,12.534059,41,0
Dominica,8.797091,11.168786,15,0
Grenada,8.980523,11.551492,14,0
St. Lucia,8.821933,12.059508,14,0
St. Vincent and the Grenadines,8.759487,11.600552,15,0
Antigua and Barbuda,9.666902,11.354504,21,0
St. Kitts and Nevis,9.573183,10.841736,42,0
Mexico,9.166166,18.560165,38,10
Belize,8.447289,12.589783,25,1
Guatemala,7.9611955,16.429127,17,0
Honduras,7.540745,15.806444,14,0
El Salvador,8.155853,15.632252,17,0
Nicaragua,7.3119745,15.5503435,60,0
Costa Rica,8.792214,15.326831,11,0
Panama,8.854053,15.083438,60,0
Colombia,8.594866,17.625568,27,2
"Venezuela, RB",9.327005,17.152002,18,2
Guyana,7.815372,13.561571,42,0
Suriname,8.83276,13.152644,60,0
Ecuador,8.3560505,16.490515,12,0
Peru,8.357474,17.169813,14,0
Brazil,9.083965,19.071785,60,18
Bolivia,7.4357696,16.101366,18,0
Paraguay,7.9953694,15.64585,14,0
Chile,9.277479,16.638744,59,4
Argentina,9.23336,17.49626,41,1
Uruguay,9.112454,15.024142,55,0
Faeroe Islands,10.792469,10.811767,0,0
United Kingdom,10.717536,17.939528,60,35
Ireland,11.019133,15.317262,41,6
Netherlands,10.943957,16.615568,4,5
Belgium,10.790409,16.186686,60,2
Luxembourg,11.630505,13.099401,60,0
France,10.722429,17.980175,60,14
Monaco,12.175058,10.482513,0,1
Liechtenstein,11.869273,10.479595,13,0
Switzerland,11.186902,15.849913,58,11
Spain,10.476447,17.643154,60,18
Andorra,10.820503,11.289394,0,0
Portugal,10.119199,16.172411,41,4
Germany,10.729205,18.223572,57,59
Poland,9.539742,17.4564,29,6
Austria,10.846184,15.936205,57,4
Hungary,9.657604,16.121906,35,0
Czech Republic,10.027017,16.155834,45,1
Slovak Republic,9.828704,15.498056,35,0
Italy,10.612207,17.890106,58,13
San Marino,11.03797,10.327087,0,0
Malta,9.947303,12.922397,15,0
Albania,8.394504,14.884542,8,0
Montenegro,8.896425,13.335294,11,0
Serbia,8.810127,15.810241,0,0
"Macedonia, FYR",8.459904,14.556862,26,0
Croatia,9.673283,15.304927,45,0
Bosnia and Herzegovina,8.485936,15.166489,0,0
Kosovo,8.087905,14.37363,0,0
Slovenia,10.222008,14.519259,15,0
Greece,10.3651705,16.230213,58,4
Cyprus,10.147427,13.889772,13,2
Bulgaria,8.870089,15.829421,12,0
Moldova,7.436012,15.088106,22,0
Romania,9.203605,16.837782,14,2
Russian Federation,9.366808,18.77103,37,87
Estonia,9.802986,14.106007,9,0
Latvia,9.704,14.593606,9,0
Lithuania,9.613251,14.978108,7,0
Ukraine,8.266474,17.64975,46,7
