Date,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total
2017-04-01 00:00:00,46.0,37,0,6.06,14.46,19.15,14.3,5397.0
2017-04-02 00:00:00,62.1,41,0,20.21,39.43,42.07,28.62,13033.0
2017-04-03 00:00:00,63.0,50,0.03,24.7,49.88,51.78,36.89,16325.0
2017-04-04 00:00:00,51.1,46,1.18,7.23,19.13,22.79,16.66,6581.0
2017-04-05 00:00:00,63.0,46,0,28.07,52.76,57.11,41.97,17991.0
2017-04-06 00:00:00,48.9,41,0.73,4.61,13.24,17.39,13.72,4896.0
2017-04-07 00:00:00,48.0,43,T,12.22,29.55,33.99,27.65,10341.0
2017-04-08 00:00:00,55.9,39.9,0,16.74,31.63,40.82,26.91,11610.0
2017-04-09 00:00:00,66.0,45,0,23.75,43.77,48.86,32.61,14899.0
2017-04-10 00:00:00,73.9,55,0,33.24,63.59,68.81,47.31,21295.0
2017-04-11 00:00:00,80.1,62.1,0,38.87,72.47,80.79,55.01,24714.0
2017-04-12 00:00:00,73.9,57.9,0.02,25.65,56.33,66.2,45.37,19355.0
2017-04-13 00:00:00,64.0,48.9,0,33.53,60.52,67.75,47.0,20880.0
2017-04-14 00:00:00,64.9,48.9,0,29.42,50.54,58.77,41.42,18015.0
2017-04-15 00:00:00,64.9,52,0,22.53,38.53,49.65,32.91,14362.0
2017-04-16 00:00:00,84.9,62.1,T,28.77,45.85,52.59,36.87,16408.0
2017-04-17 00:00:00,73.9,64,T,31.52,63.52,69.24,46.58,21086.0
2017-04-18 00:00:00,66.0,50,0,34.15,66.91,73.41,50.12,22459.0
2017-04-19 00:00:00,52.0,45,T,19.65,46.32,52.34,39.96,15827.0
2017-04-20 00:00:00,64.9,50,0.17,15.67,33.65,43.02,30.56,12290.0
2017-04-21 00:00:00,53.1,48,0.29,14.26,31.42,36.74,26.72,10914.0
2017-04-22 00:00:00,55.9,52,0.11,13.18,22.97,29.63,23.66,8944.0
2017-04-23 00:00:00,64.9,46.9,0,25.2,46.81,51.05,34.34,15740.0
2017-04-24 00:00:00,60.1,50,T,25.44,53.66,57.62,41.83,17855.0
2017-04-25 00:00:00,54.0,50,0.91,6.11,14.02,19.02,15.78,5493.0
2017-04-26 00:00:00,59.0,54,0.34,12.47,27.74,34.29,23.69,9819.0
2017-04-27 00:00:00,68.0,59,0,29.59,53.11,60.26,42.85,18581.0
2017-04-28 00:00:00,82.9,57.9,0,36.79,67.74,71.96,51.38,22787.0
2017-04-29 00:00:00,84.0,64,0.06,33.15,56.05,60.45,40.78,19043.0
2017-04-30 00:00:00,64.0,54,0,22.25,40.57,45.13,31.37,13932.0
T = trace of precipitation,,S = snow,,,,,,
2017-08-01 00:00:00,91.0,72.0,0,34.92,72.9,76.86,60.5,24518.0
2017-08-02 00:00:00,86.0,69.1,0.09,26.37,59.66,64.07,52.88,20298.0
2017-08-03 00:00:00,86.0,70.0,0,33.46,67.28,72.97,58.35,23206.0
2017-08-04 00:00:00,82.9,70.0,0.15,24.0,44.47,51.58,44.27,16432.0
2017-08-05 00:00:00,77.0,70.0,0.3,34.09,45.2,51.69,39.07,17005.0
2017-08-06 00:00:00,75.9,64.0,0,31.3,50.88,56.34,42.07,18059.0
2017-08-07 00:00:00,71.1,64.9,0.76,8.04,18.09,26.69,24.41,7723.0
2017-08-08 00:00:00,77.0,66.0,0,35.98,71.76,75.71,59.32,24277.0
2017-08-09 00:00:00,82.9,66.0,0,38.93,77.91,85.89,65.82,26855.0
2017-08-10 00:00:00,82.9,69.1,0,34.23,73.78,78.5,62.9,24941.0
2017-08-11 00:00:00,81.0,70.0,T,31.48,62.95,70.68,56.69,22180.0
2017-08-12 00:00:00,75.9,64.9,0.11,41.46,45.93,54.43,45.48,18730.0
2017-08-13 00:00:00,82.0,71.1,0,32.74,50.86,54.19,44.3,18209.0
